epoch,train_loss,eval_loss,eval_top1,eval_top5
147,1.2348221234786205,1.1757153387069703,73.88,90.89
148,1.2393785207699506,1.125906708431244,74.85,92.0
149,1.2293477987631773,1.1782118335723877,74.39,91.6
150,1.2316543655517773,1.163807348060608,74.24,91.64
151,1.2317428986231487,1.1548067556381225,74.42,91.91
152,1.224739639575665,1.177957849216461,74.42,91.34
153,1.2240941683451334,1.1888534916877747,73.3,90.82
154,1.2114547475790367,1.1843125939369201,73.99,91.49
155,1.2152775238721798,1.1924888744354247,73.92,91.01
156,1.2045677649669158,1.1682463010787965,74.31,91.44
157,1.2062838268585694,1.1711928721427918,74.59,91.63
158,1.2044257738651374,1.1815858493804932,74.51,91.21
159,1.202481812085861,1.1435642835617066,74.91,91.7
160,1.2049101071479993,1.1773536343574524,74.65,91.3
161,1.1984870938154368,1.169418470287323,74.53,91.16
162,1.19376299564655,1.1949301376342774,74.17,91.43
163,1.1993342439333599,1.1652103918075563,74.46,91.58
164,1.1907198487183988,1.1775966744422912,74.33,91.32
165,1.1856583518859667,1.182414418697357,74.42,91.38
166,1.1890787292749454,1.1811098892211913,74.5,91.43
167,1.1798053762851617,1.1683312000274657,74.59,91.85
168,1.1753435920446347,1.1747103658676148,74.82,91.46
169,1.18171472518872,1.1792945120811462,74.66,91.7
170,1.1820595166622063,1.1718956951141357,74.38,91.46
171,1.1773848593235017,1.1823677526474,74.65,91.41
172,1.1758800020584694,1.1738867656707763,74.78,91.68
173,1.1688863593798418,1.1811828979492187,74.67,91.48
174,1.1696653029857538,1.1804170201301574,74.61,91.4
175,1.1744467469362112,1.1767143544197083,74.89,91.88
176,1.164570693174998,1.16595158700943,74.73,91.6
